release_time,pre_power_mean_kw,post_power_mean_kw,power_jump_ratio,post_exceeds_pre_by_10pct,pre_wind_mean_ms,pre_power_ref_mean_kw,pre_curtail_fraction,post_curtail_fraction
2025-12-17 11:34:00,1170.4,1123.9,0.96,False,14.33,1169.1,1.0,0.0
2025-12-17 13:29:00,862.1,724.6,0.84,False,10.7,1161.7,1.0,0.0
2025-12-18 08:19:00,412.4,743.7,1.8,True,8.43,706.3,1.0,0.0
2025-12-18 13:44:00,842.7,846.2,1.0,False,10.56,1265.3,1.0,0.0
2025-12-19 08:50:00,1067.5,1329.6,1.25,True,14.67,1069.3,1.0,0.0
2025-12-19 16:27:00,623.5,498.4,0.8,False,9.42,952.7,1.0,0.0
2025-12-19 21:23:00,863.6,693.5,0.8,False,10.61,1159.8,1.0,0.0
2025-12-21 10:12:00,405.6,337.7,0.83,False,8.12,773.7,1.0,0.0
2025-12-24 06:43:00,264.3,335.3,1.27,True,7.42,377.0,1.0,0.0
2025-12-25 08:09:00,238.6,244.0,1.02,False,6.11,701.2,1.0,0.0
2026-01-01 16:53:00,846.4,808.7,0.96,False,11.01,960.3,1.0,0.0
2026-01-02 10:25:00,603.8,507.6,0.84,False,9.44,634.9,1.0,0.0
2026-01-02 11:15:00,555.1,555.7,1.0,False,8.3,775.1,1.0,0.0
2026-01-02 14:32:00,213.1,112.6,0.53,False,8.29,400.1,1.0,0.1
2026-01-03 07:36:00,498.6,274.8,0.55,False,8.26,837.0,1.0,0.0
2026-01-05 05:32:00,187.5,214.2,1.14,True,6.84,266.1,1.0,0.0
2026-01-12 11:17:00,710.8,942.4,1.33,True,10.75,810.7,1.0,0.0
2026-01-14 02:49:00,908.5,1056.2,1.16,True,11.19,1011.4,1.0,0.0
2026-01-14 17:33:00,557.2,764.8,1.37,True,8.85,779.5,1.0,0.0
2026-01-14 19:01:00,536.1,639.4,1.19,True,8.96,820.1,1.0,0.0
2026-01-15 05:11:00,767.3,1138.5,1.48,True,11.23,725.4,1.0,0.0
2026-01-19 03:06:00,343.0,328.6,0.96,False,7.73,580.0,1.0,0.0
2026-01-20 03:49:00,290.8,369.6,1.27,True,8.21,463.3,1.0,0.0
2026-01-20 16:42:00,658.8,861.9,1.31,True,10.39,734.5,1.0,0.0
2026-01-21 03:11:00,462.5,557.8,1.21,True,9.3,628.1,1.0,0.0
2026-01-21 16:50:00,857.8,846.8,0.99,False,10.77,1036.6,1.0,0.0
2026-01-25 13:05:00,423.5,267.4,0.63,False,8.02,689.5,1.0,0.0
2026-01-25 22:10:00,465.1,349.6,0.75,False,8.52,718.6,1.0,0.0
2026-01-28 05:56:00,748.6,405.9,0.54,False,10.01,1129.8,1.0,0.0
2026-01-30 14:17:00,600.4,911.6,1.52,True,9.63,672.3,1.0,0.0
2026-02-02 13:00:00,502.6,728.4,1.45,True,9.26,47.0,1.0,0.0
2026-02-04 20:15:00,231.6,515.7,2.23,True,7.53,346.1,1.0,0.0
2026-02-06 09:56:00,568.0,490.4,0.86,False,9.32,752.2,1.0,0.0
2026-02-06 10:59:00,290.3,292.2,1.01,False,7.16,700.1,1.0,0.0
