fold,held_out,scenario,model,seed,n_test_windows,test_censored_share,wis_mean,wis_median,fit_seconds,utc
loto_alta2,ALTA2_1301255,S4_random_uniform,B0_persistence,fixed,15533,0.06096697226166725,0.05207911196266055,0.03271162509918213,0.0,2026-08-05T04:06:16.928953+00:00
loto_alta2,ALTA2_1301255,S4_random_uniform,B4,42,15533,0.06096697226166725,0.03435353934764862,0.020567402243614197,78.1,2026-08-05T04:07:35.279983+00:00
loto_alta2,ALTA2_1301255,S4_random_uniform,B4,123,15533,0.06096697226166725,0.033944014459848404,0.020343761891126633,76.8,2026-08-05T04:08:52.380874+00:00
loto_alta2,ALTA2_1301255,S4_random_uniform,B6,42,15533,0.06096697226166725,0.03058629110455513,0.02102615498006344,85.0,2026-08-05T04:10:17.625789+00:00
loto_alta2,ALTA2_1301255,S4_random_uniform,B6,123,15533,0.06096697226166725,0.030610963702201843,0.020967654883861542,90.0,2026-08-05T04:11:47.953293+00:00
loto_alta2,ALTA2_1301255,S4_random_uniform,CLQR,42,15533,0.06096697226166725,0.031824029982089996,0.0205999743193388,83.2,2026-08-05T04:13:11.426379+00:00
loto_alta2,ALTA2_1301255,S4_random_uniform,CLQR,123,15533,0.06096697226166725,0.03125828877091408,0.02060016617178917,95.6,2026-08-05T04:14:47.314581+00:00
loto_alta2,ALTA2_1301256,S1_fixed_50pct,B0_persistence,fixed,17313,0.09663258492946625,0.05634715846523299,0.032684579491615295,0.0,2026-08-05T04:14:49.007116+00:00
loto_alta2,ALTA2_1301256,S1_fixed_50pct,B4,42,17313,0.09663258492946625,0.04128299281001091,0.021585678681731224,110.2,2026-08-05T04:16:39.645422+00:00
loto_alta2,ALTA2_1301256,S1_fixed_50pct,B4,123,17313,0.09663258492946625,0.041375041007995605,0.021916352212429047,110.5,2026-08-05T04:18:30.504007+00:00
loto_alta2,ALTA2_1301256,S1_fixed_50pct,B6,42,17313,0.09663258492946625,0.03340480476617813,0.02267725206911564,120.2,2026-08-05T04:20:31.059659+00:00
loto_alta2,ALTA2_1301256,S1_fixed_50pct,B6,123,17313,0.09663258492946625,0.0332268662750721,0.02244112826883793,123.1,2026-08-05T04:22:34.535167+00:00
loto_alta2,ALTA2_1301256,S1_fixed_50pct,CLQR,42,17313,0.09663258492946625,0.03536801040172577,0.02162025310099125,58.3,2026-08-05T04:23:33.187216+00:00
loto_alta2,ALTA2_1301256,S1_fixed_50pct,CLQR,123,17313,0.09663258492946625,0.035563040524721146,0.0215967558324337,55.6,2026-08-05T04:24:29.160892+00:00
loto_alta2,ALTA2_1301256,S4_random_uniform,B0_persistence,fixed,17313,0.07277768105268478,0.0557690659362653,0.03223729133605957,0.0,2026-08-05T04:24:30.840548+00:00
loto_alta2,ALTA2_1301256,S4_random_uniform,B4,42,17313,0.07277768105268478,0.03775417059659958,0.021467702463269234,111.0,2026-08-05T04:26:22.213291+00:00
loto_alta2,ALTA2_1301256,S4_random_uniform,B4,123,17313,0.07277768105268478,0.037715137004852295,0.02143484354019165,112.8,2026-08-05T04:28:15.429680+00:00
loto_alta2,ALTA2_1301256,S4_random_uniform,B6,42,17313,0.07277768105268478,0.032980844378471375,0.02222444862127304,114.7,2026-08-05T04:30:10.513924+00:00
loto_alta2,ALTA2_1301256,S4_random_uniform,B6,123,17313,0.07277768105268478,0.03279755264520645,0.021982897073030472,92.9,2026-08-05T04:31:43.699627+00:00
loto_alta2,ALTA2_1301256,S4_random_uniform,CLQR,42,17313,0.07277768105268478,0.034094229340553284,0.02133774198591709,65.5,2026-08-05T04:32:49.458143+00:00
loto_alta2,ALTA2_1301256,S4_random_uniform,CLQR,123,17313,0.07277768105268478,0.03483714535832405,0.02154981531202793,39.0,2026-08-05T04:33:28.707845+00:00
