dataset,bin_left_ms,bin_right_ms,n_records,n_free,free_support
S5_wind_triggered,12.0,13.0,3145,10,0.003179650238473768
S5_wind_triggered,13.0,14.0,1984,1,0.0005040322580645161
S5_wind_triggered,14.0,15.0,1186,0,0.0
S5_wind_triggered,15.0,16.0,576,1,0.001736111111111111
S5_wind_triggered,16.0,17.0,273,0,0.0
S5_wind_triggered,17.0,18.0,83,0,0.0
S5_wind_triggered,18.0,19.0,27,0,0.0
S5_wind_triggered,19.0,20.0,14,0,0.0
S5_wind_triggered,20.0,21.0,21,0,0.0
S5_wind_triggered,21.0,22.0,25,0,0.0
S5_wind_triggered,22.0,23.0,17,0,0.0
S5_wind_triggered,23.0,24.0,15,0,0.0
S5_wind_triggered,24.0,25.0,8,0,0.0
S5_wind_triggered,25.0,26.0,1,0,0.0
S5_wind_triggered,26.0,27.0,1,0,0.0
S5_wind_triggered,27.0,28.0,0,0,
S5_wind_triggered,28.0,29.0,0,0,
S5_wind_triggered,29.0,30.0,0,0,
S5_wind_triggered,30.0,31.0,0,0,
S5_wind_triggered,31.0,32.0,0,0,
S5_wind_triggered,32.0,33.0,0,0,
S5_wind_triggered,33.0,34.0,0,0,
S5_wind_triggered,34.0,35.0,0,0,
S5_wind_triggered,35.0,36.0,0,0,
S5_wind_triggered,36.0,37.0,0,0,
S5_wind_triggered,37.0,38.0,0,0,
ALTA2_real,0.0,1.0,0,0,
ALTA2_real,1.0,2.0,0,0,
ALTA2_real,2.0,3.0,0,0,
ALTA2_real,3.0,4.0,387,387,1.0
ALTA2_real,4.0,5.0,12184,12184,1.0
ALTA2_real,5.0,6.0,20230,20050,0.9911023232822541
ALTA2_real,6.0,7.0,17736,17251,0.9726544880469102
ALTA2_real,7.0,8.0,15707,14658,0.933214490354619
ALTA2_real,8.0,9.0,14505,12543,0.864736297828335
ALTA2_real,9.0,10.0,13447,9847,0.7322822934483528
ALTA2_real,10.0,11.0,14559,7679,0.5274400714334776
ALTA2_real,11.0,12.0,16330,5592,0.3424372320881813
ALTA2_real,12.0,13.0,14724,3250,0.22072806302635153
ALTA2_real,13.0,14.0,11327,2053,0.18124834466319414
ALTA2_real,14.0,15.0,7734,1225,0.15839151797258857
ALTA2_real,15.0,16.0,4987,590,0.11830759975937437
