run,contamination_mode,intensity_factor,inference_role,family,scenario,reference,challenger,window_type,n_windows,n_clusters,difference_reference_minus_challenger,ci_low,ci_high,sign_flip_p_two_sided,advantage_retained
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S1_fixed_50pct,B6,ORACLE,censored,4134,19,-0.00010608863826691497,-0.0009424049571860569,0.0005120973523367382,0.7767222327776723,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S1_fixed_50pct,B6,ORACLE,clean,5788,20,0.0010265994755230695,0.0005734161728322019,0.001527203798274952,0.0001999980000199998,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S1_fixed_50pct,B6,ORACLE,all,9922,20,-9.581768103646004e-05,-0.0004966691179645318,0.0003861128467653091,0.6720732792672073,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S1_fixed_50pct,B6,ORACLE,censored,4134,19,-0.002316810617533823,-0.0032585298464654303,-0.0016103791991266408,0.0018299817001829982,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S1_fixed_50pct,B6,ORACLE,clean,5788,20,0.0014904962096822852,0.0010750346375110033,0.0020008822324805897,4.999950000499995e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S2_fixed_70pct,B4_plain,B4,all,9922,20,0.004598126572483016,0.00105773449634756,0.007078507074687147,0.03974960250397496,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S2_fixed_70pct,B4_plain,B4,censored,2998,16,0.010696389687510383,0.004286097609827945,0.013966804399990134,0.05267333984375,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S2_fixed_70pct,B4_plain,B4,clean,6924,20,0.001957659672013339,0.00016850876941083918,0.0036741590292984137,0.06734932650673493,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S2_fixed_70pct,B4_plain,B4,all,9922,20,0.002949296607577907,0.0003829520344222831,0.004698074779051996,0.022639773602263977,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S2_fixed_70pct,B4_plain,B4,censored,2998,16,0.0051057161906208496,-0.0008374427338346924,0.0072651670062806074,0.234832763671875,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S2_fixed_70pct,B4_plain,B4,clean,6924,20,0.0020155955807202035,0.0006657545710222935,0.003279442036348819,0.0018299817001829982,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,B6,all,9922,20,0.03975921875309211,0.01894198131152898,0.055745143053204146,6.999930000699993e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,B6,censored,2998,16,0.12868604197190467,0.10219127209999922,0.1406983868350393,6.103515625e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,B6,clean,6924,20,0.0012550858804751092,-0.0020362926898895234,0.0042066881569203405,0.4960750392496075,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,B6,all,9922,20,0.04060148294154407,0.0191059850650684,0.057102434519323,0.00026999730002699973,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,B6,censored,2998,16,0.1339356869835813,0.10877480579863585,0.14524348188824315,3.0517578125e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,B6,clean,6924,20,0.00018901273385666824,-0.0037634520190836435,0.0035454401491153936,0.9262507374926251,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,BT,all,9922,20,0.035885210351995385,0.018084114607550477,0.0496894879621689,3.999960000399996e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,BT,censored,2998,16,0.11326283414113776,0.08943176662271939,0.1244290375946131,0.0001220703125,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,BT,clean,6924,20,0.0023817273768583437,0.0007509374935191568,0.003971058051944201,0.023609763902360976,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,BT,all,9922,20,0.037352755282744315,0.018199078361540322,0.052039997879688785,0.00014999850001499985,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,BT,censored,2998,16,0.11939670348153503,0.0964855874259881,0.12997742564490228,6.103515625e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B4,BT,clean,6924,20,0.0018288158402292103,-0.00047905711130670725,0.0037362377501762903,0.16392836071639283,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S2_fixed_70pct,B1,B6,all,9922,20,0.01381536517988735,0.007524083494966443,0.018705943636698582,0.0007099929000709993,True
